schedule_id,start_time,end_time,duration_seconds,course_id,teacher_id
53,2020-12-15 18:30:00,2020-12-15 19:15:00,45,87,33
92,2020-09-15 20:30:00,2020-09-15 21:15:00,45,16,15
41,2020-09-22 18:30:00,2020-09-22 19:15:00,45,15,46
52,2020-12-08 18:30:00,2020-12-08 19:15:00,45,15,46
49,2020-11-17 18:30:00,2020-11-17 19:15:00,45,15,46
142,2020-09-02 12:15:00,2020-09-02 12:45:00,30,18,14
48,2020-11-10 18:30:00,2020-11-10 19:15:00,45,15,46
45,2020-10-20 18:30:00,2020-10-20 19:15:00,45,15,46
197,2020-09-23 16:00:00,2020-09-23 16:30:00,30,22,29
40,2020-09-15 18:30:00,2020-09-15 19:15:00,45,15,46
44,2020-10-13 18:30:00,2020-10-13 19:15:00,45,15,46
150,2020-10-28 12:15:00,2020-10-28 12:45:00,30,18,14
200,2020-10-14 16:00:00,2020-10-14 16:30:00,30,22,29
263,2020-12-30 18:00:00,2020-12-30 18:45:00,45,19,52
152,2020-11-11 12:15:00,2020-11-11 12:45:00,30,18,14
213,2021-01-13 16:00:00,2021-01-13 16:30:00,30,22,29
228,2020-10-28 19:00:00,2020-10-28 19:45:00,45,35,36
114,2020-08-19 09:00:00,2020-08-19 09:45:00,45,9,30
47,2020-11-03 18:30:00,2020-11-03 19:15:00,45,15,46
88,2020-08-18 20:30:00,2020-08-18 21:15:00,45,16,15
218,2020-08-19 19:00:00,2020-08-19 19:45:00,45,35,36
207,2020-12-02 16:00:00,2020-12-02 16:30:00,30,22,29
94,2020-09-29 20:30:00,2020-09-29 21:15:00,45,16,15
384,2020-08-20 10:00:00,2020-08-20 10:45:00,45,21,40
89,2020-08-25 20:30:00,2020-08-25 21:15:00,45,16,15
214,2021-01-20 16:00:00,2021-01-20 16:30:00,30,22,29
50,2020-11-24 18:30:00,2020-11-24 19:15:00,45,15,46
146,2020-09-30 12:15:00,2020-09-30 12:45:00,30,18,14
266,2021-01-20 18:00:00,2021-01-20 18:45:00,45,50,15
42,2020-09-29 18:30:00,2020-09-29 19:15:00,45,15,46
56,2021-01-05 18:30:00,2021-01-05 19:15:00,45,15,46
87,2020-08-11 20:30:00,2020-08-11 21:15:00,45,16,15
141,2020-08-26 12:15:00,2020-08-26 12:45:00,30,18,14
274,2020-09-16 17:00:00,2020-09-16 17:45:00,45,32,54
43,2020-10-06 18:30:00,2020-10-06 19:15:00,45,15,46
46,2020-10-27 18:30:00,2020-10-27 19:15:00,45,15,46
145,2020-09-23 12:15:00,2020-09-23 12:45:00,30,18,14
57,2021-01-12 18:30:00,2021-01-12 19:15:00,45,87,33
148,2020-10-14 12:15:00,2020-10-14 12:45:00,30,18,14
379,2021-01-07 09:00:00,2021-01-07 09:30:00,30,36,49
373,2020-11-26 09:00:00,2020-11-26 09:30:00,30,36,49
93,2020-09-22 20:30:00,2020-09-22 21:15:00,45,16,15
95,2020-10-06 20:30:00,2020-10-06 21:15:00,45,16,15
54,2020-12-22 18:30:00,2020-12-22 19:15:00,45,15,46
245,2020-08-26 18:00:00,2020-08-26 18:45:00,45,19,52
303,2020-11-04 20:00:00,2020-11-04 20:45:00,45,20,37
55,2020-12-29 18:30:00,2020-12-29 19:15:00,45,15,46
415,2020-10-01 12:00:00,2020-10-01 12:30:00,30,26,52
63,2020-08-25 19:30:00,2020-08-25 20:00:00,30,17,41
227,2020-10-21 19:00:00,2020-10-21 19:45:00,45,35,36
271,2020-08-26 17:00:00,2020-08-26 17:45:00,45,32,54
222,2020-09-16 19:00:00,2020-09-16 19:45:00,45,35,36
199,2020-10-07 16:00:00,2020-10-07 16:30:00,30,22,29
91,2020-09-08 20:30:00,2020-09-08 21:15:00,45,16,15
192,2020-08-19 16:00:00,2020-08-19 16:30:00,30,22,29
358,2020-08-13 09:00:00,2020-08-13 09:30:00,30,36,49
196,2020-09-16 16:00:00,2020-09-16 16:30:00,30,22,29
153,2020-11-18 12:15:00,2020-11-18 12:45:00,30,18,14
51,2020-12-01 18:30:00,2020-12-01 19:15:00,45,15,46
225,2020-10-07 19:00:00,2020-10-07 19:45:00,45,35,36
90,2020-09-01 20:30:00,2020-09-01 21:15:00,45,16,15
115,2020-08-26 09:00:00,2020-08-26 09:45:00,45,9,30
191,2020-08-12 16:00:00,2020-08-12 16:30:00,30,22,29
283,2020-11-18 17:00:00,2020-11-18 17:45:00,45,32,54
323,2020-07-30 07:15:00,2020-07-30 08:00:00,45,5,17
230,2020-11-11 19:00:00,2020-11-11 19:45:00,45,35,36
224,2020-09-30 19:00:00,2020-09-30 19:45:00,45,35,36
233,2020-12-02 19:00:00,2020-12-02 19:45:00,45,35,36
238,2021-01-06 19:00:00,2021-01-06 19:45:00,45,35,36
344,2020-10-29 08:15:00,2020-10-29 08:45:00,30,6,30
193,2020-08-26 16:00:00,2020-08-26 16:30:00,30,22,29
349,2020-12-03 08:15:00,2020-12-03 08:45:00,30,6,30
340,2020-10-01 08:15:00,2020-10-01 08:45:00,30,6,30
412,2020-09-10 12:00:00,2020-09-10 12:30:00,30,16,15
254,2020-10-28 18:00:00,2020-10-28 18:45:00,45,19,52
231,2020-11-18 19:00:00,2020-11-18 19:45:00,45,35,36
538,2020-09-11 08:30:00,2020-09-11 09:30:00,60,12,6
463,2020-09-10 19:00:00,2020-09-10 19:45:00,45,30,41
427,2020-12-24 12:00:00,2020-12-24 12:30:00,30,26,52
279,2020-10-21 17:00:00,2020-10-21 17:45:00,45,32,54
147,2020-10-07 12:15:00,2020-10-07 12:45:00,30,18,14
394,2020-10-29 10:00:00,2020-10-29 10:45:00,45,21,40
305,2020-11-18 20:00:00,2020-11-18 20:45:00,45,20,37
350,2020-12-10 08:15:00,2020-12-10 08:45:00,30,6,30
