sub_id,user_id,start_date,end_date,price
702300,1,2020-08-05,2021-08-05,0
702308,5,2020-08-05,2021-08-05,0
702299,6,2020-08-05,2021-08-05,0
702366,8,2020-08-05,2021-08-05,0
702237,9,2020-08-05,2020-08-20,0
702146,10,2020-08-03,2020-08-18,0
718610,8292,2020-08-21,2020-09-05,0
702364,13,2020-08-05,2021-08-05,0
702323,14,2020-08-05,2021-08-05,0
788824,31818,2021-01-29,2021-03-01,"15,08"
702345,20,2020-08-05,2021-08-05,0
702328,25,2020-08-05,2021-08-05,0
702305,27,2020-08-05,2021-08-05,0
702384,30,2020-08-05,2021-08-05,0
702358,32,2020-08-05,2021-08-05,0
788190,30633,2021-01-17,2021-04-17,0
702287,34,2020-08-05,2021-08-05,0
793558,34341,2021-05-06,2021-05-21,0
702293,42,2020-08-05,2021-08-05,0
702297,43,2020-08-05,2021-08-05,0
702324,45,2020-08-05,2021-08-05,0
702337,46,2020-08-05,2021-08-05,0
755228,33101,2020-12-15,2020-12-30,0
787980,15649,2020-11-08,2021-11-08,"4,25"
702335,50,2020-08-05,2021-08-05,0
702303,55,2020-08-05,2021-08-05,0
702290,117,2020-08-05,2021-08-05,0
787784,6658,2020-09-13,2021-09-13,"4,25"
702388,59,2020-08-05,2021-08-05,0
702376,61,2020-08-05,2021-08-05,0
702340,62,2020-08-05,2021-08-05,0
702311,66,2020-08-05,2021-08-05,0
702378,68,2020-08-05,2021-08-05,0
702352,77,2020-08-05,2021-08-05,0
788605,31878,2021-01-26,2021-02-10,0
787740,6019,2020-09-05,2021-09-05,"4,25"
702342,83,2020-08-05,2021-08-05,0
702349,91,2020-08-05,2021-08-05,0
787695,5073,2020-09-05,2021-09-05,"4,25"
702353,94,2020-08-05,2021-08-05,0
793423,33384,2021-05-03,2021-06-02,"9,25"
702292,100,2020-08-05,2021-08-05,0
702307,102,2020-08-05,2021-08-05,0
788046,13909,2020-11-20,2021-11-20,"4,25"
702288,113,2020-08-05,2021-08-05,0
702327,114,2020-08-05,2021-08-05,0
702319,115,2020-08-05,2021-08-05,0
787812,2578,2020-09-25,2021-09-25,"4,25"
702316,120,2020-08-05,2021-08-05,0
720129,7272,2020-09-05,2021-09-05,"7,58"
749452,28576,2020-11-14,2020-11-29,0
788728,31938,2021-01-27,2021-02-11,0
787826,8359,2020-10-07,2021-10-07,"4,25"
702380,144,2020-08-05,2021-08-05,0
702362,145,2020-08-05,2021-08-05,0
702359,151,2020-08-05,2021-08-05,0
787696,3873,2020-09-05,2021-09-05,"4,25"
702317,162,2020-08-05,2021-08-05,0
702355,165,2020-08-05,2021-08-05,0
702371,166,2020-08-05,2021-08-05,0
702294,173,2020-08-05,2021-08-05,0
788393,33404,2021-01-31,2022-01-31,0
787813,9658,2020-09-27,2021-09-27,"4,25"
702320,180,2020-08-05,2021-08-05,0
720055,4511,2020-09-05,2021-09-05,"7,58"
720287,5832,2020-09-05,2021-09-05,"7,58"
749091,23596,2020-11-11,2021-06-11,"11,75"
787845,8839,2020-10-18,2021-10-18,"4,25"
702370,205,2020-08-05,2021-08-05,0
787737,4293,2020-09-05,2021-09-05,"4,25"
702338,217,2020-08-05,2021-08-05,0
702341,233,2020-08-05,2021-08-05,0
788394,20276,2021-01-23,2022-01-23,0
787834,3418,2020-10-10,2021-10-10,"4,25"
702332,240,2020-08-05,2021-08-05,0
720316,9491,2020-09-05,2020-09-20,0
720249,6312,2020-09-05,2021-09-05,"5,92"
703946,1635,2020-08-05,2020-09-05,0
788902,31998,2021-01-30,2021-05-30,0
702381,263,2020-08-05,2021-08-05,0
787760,5313,2020-09-06,2021-09-06,"4,25"
702385,293,2020-08-05,2021-08-05,0
787837,9898,2020-10-12,2021-10-12,"4,25"
719460,9371,2020-08-28,2020-09-12,0
788734,17898,2021-02-23,2021-05-23,0
788113,23719,2020-11-29,2021-11-29,"4,25"
787788,3153,2020-09-16,2021-09-16,"4,25"
793648,30036,2021-05-10,2021-05-24,0
712838,6941,2020-08-05,2020-09-05,0
755064,31908,2020-12-14,2021-02-13,"11,75"
789283,33573,2021-02-07,2022-02-07,0
788420,20036,2021-02-09,2022-02-09,0
702829,367,2020-08-05,2020-09-05,0
719443,8232,2020-08-29,2021-06-29,"11,75"
749404,12076,2020-11-14,2021-05-15,"11,75"
788196,30199,2021-01-17,2021-02-01,0
787877,9693,2020-10-30,2021-10-30,"4,25"
712847,7001,2020-08-05,2020-09-05,0
755374,32028,2020-12-17,2021-05-17,"11,75"
788437,20876,2021-02-09,2022-02-09,0
787918,16798,2020-11-04,2021-11-04,"4,25"
720501,4032,2020-09-06,2021-09-06,"7,58"
706594,3092,2020-08-05,2020-08-20,0
787900,12153,2020-11-02,2021-11-02,"4,25"
793693,34178,2021-05-12,2021-06-11,"15,08"
789333,26389,2021-02-15,2022-02-15,0
787794,8576,2020-09-20,2021-09-20,"4,25"
788000,22678,2020-11-11,2021-11-11,"4,25"
721743,9131,2020-09-15,2021-09-15,"7,58"
720840,5112,2020-09-08,2021-09-08,"5,92"
788024,6813,2020-11-17,2021-11-17,"4,25"
702802,526,2020-08-05,2020-09-05,0
755088,33042,2020-12-14,2020-12-29,0
788941,33573,2021-01-31,2021-02-07,0
788025,25018,2020-11-17,2021-11-17,"4,25"
721368,9611,2020-09-13,2020-09-28,0
720522,3792,2020-09-07,2021-06-07,"7,58"
749263,28396,2020-11-12,2020-11-27,0
790005,32418,2021-02-21,2022-02-21,0
713328,7181,2020-08-05,2020-09-05,0
789141,33747,2021-02-03,2021-02-10,0
787950,12836,2020-11-05,2021-11-05,"4,25"
706607,4083,2020-08-05,2020-08-20,0
721238,8352,2020-09-12,2020-09-27,0
790027,31818,2021-03-01,2022-03-01,0
788607,26899,2021-02-07,2022-02-07,0
706604,3267,2020-08-05,2020-08-20,0
788165,30573,2021-01-15,2021-01-30,0
793168,34178,2021-04-27,2021-05-12,0
702750,638,2020-08-05,2020-09-05,0
788169,33522,2021-01-16,2021-02-16,"15,08"
788120,19438,2020-11-30,2021-11-30,"4,25"
722299,9491,2020-09-20,2021-09-20,"7,58"
721675,8412,2020-09-15,2021-09-15,0
749653,28636,2020-11-16,2020-12-01,0
789685,32418,2021-02-14,2021-02-21,0
788918,30259,2021-01-31,2022-01-31,0
731803,12261,2020-10-19,2020-11-02,0
788292,30693,2021-01-20,2021-02-04,0
793382,34233,2021-05-01,2021-05-16,0
713606,7301,2020-08-05,2020-09-05,0
788797,11029,2021-01-28,2021-02-28,"9,25"
787609,33868,2021-01-11,2021-01-26,0
722415,8411,2020-09-19,2021-09-19,"7,58"
723370,8472,2020-09-23,2020-10-08,0
749777,28696,2020-11-17,2020-12-02,0
789871,32538,2021-02-18,2021-02-25,0
789317,30499,2021-02-08,2022-02-08,0
788309,30753,2021-01-20,2021-02-04,0
702841,758,2020-08-05,2020-09-05,0
713649,7361,2020-08-05,2020-09-05,0
788904,13369,2021-01-30,2021-05-30,"15,08"
788174,33404,2021-01-16,2021-01-31,0
788448,33052,2021-01-24,2021-02-08,0
722910,4691,2020-09-21,2021-09-21,"7,58"
723718,8532,2020-10-24,2021-10-24,0
750132,28996,2020-11-20,2020-12-05,0
789912,4398,2021-03-08,2021-03-15,0
788473,30259,2021-01-24,2021-01-31,0
789329,26193,2021-03-07,2022-03-07,0
756364,33101,2020-12-30,2021-04-30,"9,25"
788211,33923,2021-01-18,2021-02-02,0
788725,22438,2021-02-23,2022-02-23,0
722089,7151,2020-09-17,2021-05-18,"7,58"
723704,8532,2020-09-24,2020-10-24,0
750170,27736,2020-12-21,2021-05-23,"7,58"
789571,31638,2021-02-12,2021-06-12,"9,25"
789151,30693,2021-02-04,2021-04-04,"15,08"
793848,34178,2021-06-11,2022-06-11,0
713655,7481,2020-08-05,2020-09-05,0
756004,32628,2020-12-24,2021-02-24,"15,08"
788255,33978,2021-01-19,2022-01-19,0
788742,33229,2021-02-11,2022-02-11,0
724493,5651,2020-09-26,2021-09-26,"9,25"
724507,8352,2020-09-27,2021-06-27,"11,75"
750627,6796,2020-11-22,2021-06-22,"7,58"
790260,32238,2021-02-23,2021-06-23,"15,08"
789008,30499,2021-02-01,2021-02-08,0
789194,30753,2021-02-04,2021-06-04,"15,08"
788703,33868,2021-02-26,2022-02-26,0
788915,32993,2021-01-31,2022-01-31,0
724535,9791,2020-09-27,2020-10-12,0
789381,32238,2021-02-08,2021-02-23,0
756300,33042,2020-12-29,2021-03-29,"15,08"
789109,34033,2021-02-03,2022-02-03,0
789144,33052,2021-02-08,2022-02-08,0
724930,3672,2020-09-28,2021-09-28,"7,58"
789541,32298,2021-02-11,2021-02-26,0
788966,30199,2021-02-01,2021-06-01,"9,25"
789019,33689,2021-02-01,2021-06-01,0
789247,28736,2021-02-06,2022-02-06,0
789202,33288,2021-02-05,2022-02-05,0
749927,28816,2020-11-19,2020-12-04,0
789259,30859,2021-02-06,2021-02-21,0
789146,31053,2021-02-03,2021-02-18,0
713839,7721,2020-08-05,2020-09-05,0
789302,32036,2021-02-22,2022-02-22,0
788483,32816,2021-01-25,2022-01-25,0
724740,9611,2020-09-28,2020-10-28,"11,75"
788654,30319,2021-01-26,2021-02-10,0
703271,1171,2020-08-05,2020-09-05,0
756157,33630,2020-12-27,2021-01-11,0
788574,7796,2021-02-05,2021-02-12,0
788863,33288,2021-01-29,2021-02-05,0
790218,32658,2021-02-22,2021-04-22,0
703448,1237,2020-08-05,2020-09-05,0
789463,33747,2021-02-10,2022-02-10,0
788695,34033,2021-01-27,2021-02-03,0
726118,10031,2020-10-02,2020-10-17,0
727110,8952,2020-10-05,2020-10-20,0
789091,30619,2021-02-02,2021-02-17,0
789585,18813,2021-02-12,2022-02-12,0
788596,33170,2021-01-25,2021-02-09,0
790333,32538,2021-02-25,2022-02-25,0
789944,31293,2021-02-20,2022-02-20,0
789891,26149,2021-02-18,2022-02-18,0
788597,33868,2021-01-26,2021-02-26,"15,08"
788741,33229,2021-01-27,2021-02-11,0
725825,9971,2020-09-30,2020-10-15,0
726942,8892,2020-10-05,2020-10-20,0
790901,32598,2021-03-03,2022-03-03,0
789225,30799,2021-02-05,2021-02-20,0
790080,24633,2021-02-21,2022-02-21,0
789900,33916,2021-02-19,2022-02-19,0
789042,33923,2021-02-02,2021-03-05,"15,08"
789270,33465,2021-02-06,2021-02-21,0
727810,8472,2020-10-08,2021-10-08,"7,58"
790316,32598,2021-02-24,2021-03-03,0
732300,12921,2020-10-19,2020-11-02,0
789534,31233,2021-02-11,2021-02-26,0
714554,8081,2020-08-05,2020-09-05,0
789617,33916,2021-02-12,2021-02-19,0
788760,34088,2021-01-27,2021-02-11,0
750493,29236,2020-11-21,2020-12-06,0
790430,32298,2021-02-26,2021-06-26,"15,08"
789635,31293,2021-02-13,2021-02-20,0
714831,8321,2020-08-05,2021-08-05,0
756435,33860,2020-12-31,2021-01-31,0
789779,33971,2021-02-16,2021-02-23,0
788850,34143,2021-01-29,2021-02-13,0
790590,27138,2021-02-26,2021-04-26,"15,08"
788729,27559,2021-02-14,2021-08-14,0
789890,31413,2021-02-18,2021-02-25,0
714845,8381,2020-08-05,2021-08-05,0
789717,26458,2021-02-15,2022-02-15,0
728490,4632,2020-10-11,2021-10-11,"5,92"
732491,13161,2020-10-19,2020-11-02,0
704311,1665,2020-08-05,2020-09-05,0
789570,7796,2021-02-12,2022-02-12,0
789851,33582,2021-02-18,2022-02-18,0
728665,9791,2020-10-12,2021-10-12,"7,58"
789654,30619,2021-02-17,2022-02-17,0
789640,9416,2021-02-25,2022-02-25,0
789909,33465,2021-02-21,2022-02-21,0
728294,9132,2020-10-10,2020-10-25,0
789808,31099,2021-02-17,2022-02-17,0
789821,31353,2021-02-17,2021-03-04,0
787711,3576,2020-09-05,2021-09-05,"4,25"
715083,8561,2020-08-05,2021-02-05,0
756639,33860,2021-01-31,2021-03-03,0
789931,4909,2021-02-19,2022-02-19,"6,13"
789546,33582,2021-02-11,2021-02-18,0
750845,21436,2020-11-23,2021-06-23,"11,75"
789492,31099,2021-02-10,2021-02-17,0
789829,33756,2021-02-17,2021-02-24,0
789939,31219,2021-02-19,2021-02-26,0
704515,1832,2020-08-05,2020-09-05,0
787822,8256,2020-10-03,2021-10-03,"4,25"
790254,33161,2021-02-22,2021-04-22,"15,08"
790043,17096,2021-02-21,2022-02-21,0
789938,33813,2021-02-19,2021-02-26,0
751129,28156,2020-11-24,2020-12-24,"11,75"
790047,31339,2021-02-21,2021-02-28,0
787831,8376,2020-10-10,2021-10-10,"4,25"
790256,34246,2021-02-22,2021-03-09,0
750780,29476,2020-11-22,2020-12-07,0
789998,30859,2021-02-21,2021-06-24,"9,25"
790340,31413,2021-02-25,2022-02-25,0
787901,10656,2020-11-02,2021-11-02,"4,25"
