user_id,viewed_at,view_type,schedule_id,watched_seconds
6209,2020-10-31 11:43:30,Live,771,60.0
34544,2021-03-04 09:20:15,Replay,5224,2400.0
33212,2021-01-28 13:25:33,Replay,4177,1800.0
21629,2021-01-29 19:09:28,Replay,3098,7.5
28021,2021-03-06 13:59:53,Live,5161,2700.0
3387,2021-05-20 20:51:38,Replay,4191,1248.0
33969,2020-12-29 21:14:49,Live,1872,2700.0
34544,2021-05-05 13:35:40,Replay,4089,2631.0
14932,2021-02-02 09:40:50,Replay,3595,1078.2
21629,2021-03-19 17:29:20,Replay,3557,263.0
6209,2020-12-29 09:13:39,Live,1769,2700.0
21629,2021-02-01 12:22:31,Replay,4177,19.0
21629,2020-12-14 13:25:42,Replay,3098,60.0
25934,2020-12-06 10:45:09,Replay,2959,1620.0
28021,2021-04-07 19:57:05,Replay,1886,1800.0
21629,2021-01-29 19:13:00,Replay,3098,20.0
6209,2020-12-23 18:43:43,Live,288,2100.0
21629,2021-02-01 13:07:44,Replay,4177,1500.0
10957,2021-03-26 10:16:43,Replay,4302,223.0
4632,2020-12-15 19:39:44,Replay,1768,504.0
5856,2020-08-31 17:10:11,Replay,1519,2700.0
6209,2021-02-04 12:04:07,Replay,2474,11.0
9392,2021-04-04 11:14:10,Live,3864,1800.0
9467,2020-10-17 21:47:32,Replay,2952,1800.0
10044,2020-10-27 19:52:40,Replay,3085,2700.0
31160,2020-12-05 21:05:47,Replay,3455,180.0
29181,2021-05-25 18:56:33,Replay,3256,1800.0
29181,2020-12-07 20:13:36,Replay,1066,1740.0
10558,2020-11-01 13:36:03,Replay,224,2700.0
14816,2020-10-29 13:45:17,Replay,202,1800.0
5856,2020-08-21 15:24:08,Replay,1490,120.0
21752,2020-10-28 11:41:59,Live,1959,60.0
5856,2020-10-16 19:05:15,Replay,2952,60.0
27493,2020-11-29 12:29:46,Live,3345,952.1999999999999
5856,2020-08-21 09:37:06,Replay,326,108.0
10479,2021-04-10 04:10:40,Replay,4412,1956.0638691302731
33993,2021-05-04 16:44:36,Replay,5482,6.0
6530,2021-02-09 09:59:49,Live,3999,1800.0
33946,2021-03-07 13:43:08,Replay,4565,1800.0
29181,2021-04-16 19:59:18,Replay,4648,1140.0
5856,2020-12-02 15:50:35,Replay,1505,120.0
32159,2020-12-17 20:32:40,Replay,3397,400.0
33946,2021-04-07 20:14:29,Replay,5455,1080.0
6155,2021-02-01 13:20:29,Replay,4101,2519.1034250778503
6188,2020-10-04 17:13:07,Replay,2196,72.0
22461,2020-11-24 08:23:48,Replay,1789,1044.0
31042,2021-03-29 16:58:42,Replay,3622,2.4
31042,2021-02-02 19:27:27,Replay,1795,0.5399999999999999
4851,2020-08-20 11:48:20,Replay,192,1800.0
7081,2021-03-26 17:45:41,Replay,4491,2700.0
27591,2021-02-06 19:06:15,Replay,2069,2700.0
